,prompt_prediction
12932,0.5913234
2210,3.8033415e-06
2298,0.0001600863
5924,2.4453009e-06
13513,0.33627278
13959,0.579014
7712,0.86487067
13770,0.5587204
3568,0.001010053
12272,0.48520353
2591,0.004124491
10509,0.20179522
3101,2.9503315e-06
4241,7.1495466e-05
16465,0.5943848
18352,0.93799716
7213,0.37117112
971,0.26102576
3662,0.00033041945
4328,1.5653755e-05
12598,0.98639363
7015,0.82295424
12131,0.27373865
15296,0.8537074
7670,0.9761164
5864,0.0023567448
5883,1.3101257e-05
7576,0.50600386
18015,0.5735639
1864,5.534738e-06
4536,0.012731869
5349,0.00012454382
24,0.002158991
9723,0.9905043
11941,0.45420542
13901,0.9841522
2426,0.4073073
7496,0.3452611
7401,0.54382676
4885,3.1520063e-05
6539,0.7285271
12525,0.36676845
472,1.8213028e-06
6561,0.41975614
15338,0.60358846
2402,0.0004079924
2450,0.00044078837
639,1.873691e-05
13249,0.45094705
4396,0.018683515
13681,0.9677068
15189,0.6370127
7241,0.98185986
3623,0.030751599
12710,0.1369283
9488,0.6786615
6297,6.271921e-06
17915,0.42418835
11492,0.45649981
379,0.00075188687
16798,0.97823626
12799,0.4837386
3870,5.452284e-05
13922,0.67422163
6314,0.029716926
8153,0.7495441
2587,9.922462e-05
15423,0.214715
12194,0.60377365
15385,0.9241053
13452,0.42107505
11040,0.34258345
18927,0.78019917
18334,0.8206479
17101,0.47729838
5032,0.0144425165
18177,0.9920366
14155,0.35357285
18919,0.20646043
13351,0.9020497
16966,0.64723957
11257,0.4162748
16423,0.3447848
14484,0.80703676
2908,0.000116399955
15897,0.37648028
10974,0.38193506
6006,2.4185085e-05
9743,0.9857589
14498,0.30409092
14087,0.66365045
1580,4.832057e-05
13500,0.6552203
13423,0.77407235
6574,0.99794143
3242,4.7873786e-05
9372,0.36056802
3455,0.027107952
14945,0.59252053
4903,2.4637588e-05
13843,0.54138976
6749,0.8808751
11096,0.71944404
4532,2.0605003e-05
2454,0.009637275
11012,0.61476713
1145,0.00967456
8327,0.7930226
18809,0.33887276
632,0.00039559742
5201,3.3588913e-05
18456,0.6759545
10442,0.6948373
14711,0.52871644
7271,0.6011122
17141,0.6489778
5611,7.730808e-06
10578,0.42024466
4065,0.0022550519
4104,0.0014915009
8292,0.22059157
12979,0.18905486
5453,0.00021140244
10781,0.52234364
3590,4.777427e-05
13516,0.54392046
5826,0.0010798754
17061,0.70060474
3969,0.0003525379
5525,0.0010763997
8508,0.45130998
7057,0.8060014
3254,0.0043197447
1946,0.035371076
14920,0.9063409
5174,0.0012508205
4114,1.4969229e-05
10801,0.7812473
18485,0.64399284
10180,0.9818646
15619,0.5905894
1448,0.00038698406
15893,0.5720649
10423,0.7490995
3281,0.007093462
2923,0.00014743021
3710,0.1622763
1945,5.5011424e-05
18329,0.4905454
11480,0.93178576
2468,4.9967868e-05
6194,0.025317254
10685,0.48567885
8043,0.6982047
4262,0.15687573
18151,0.010128418
17023,0.90090275
10664,0.6253452
5009,0.00020357095
4333,0.000106095795
17354,0.35111853
854,0.00023454626
9985,0.5301463
17234,0.6575775
1029,6.277033e-05
4887,0.00035674626
8978,0.9525238
13340,0.39308956
18267,0.6140874
3441,3.3848708e-06
3687,0.00018003951
18816,0.7780006
5146,0.0002500189
7689,0.4826278
12721,0.066104256
4185,0.00031402364
18683,0.5274592
4556,0.00015989927
2176,6.177918e-06
17016,0.6332483
11539,0.5575045
6190,3.9942997e-06
8354,0.50765646
16411,0.36959708
10174,0.82111126
16266,0.6938999
256,0.021545408
2919,0.005989147
3464,5.9255444e-06
11499,0.98719597
14213,0.23231378
17791,0.5301158
2145,0.002859147
1677,5.7475595e-06
1942,0.005234318
5929,0.0006293488
15077,0.25725627
9684,0.9656474
11646,0.67814654
3047,1.1970508e-05
17502,0.3932045
4134,0.32955936
2455,3.4067014e-06
13017,0.92847496
13608,0.22105874
16519,0.39599052
11771,0.6902894
9859,0.19344205
1076,2.3626942e-06
856,0.0037031919
10559,0.7395568
8916,0.34541395
5877,0.000407992
4440,5.33635e-05
15303,0.64041704
10861,0.6884172
18461,0.009615994
18526,0.95400286
16737,0.9498369
18342,0.08533529
11419,0.7374207
3645,0.0007773304
13562,0.9107832
11036,0.79971606
13583,0.37375274
12825,0.18655667
14136,0.25604904
3622,3.0478247e-06
12121,0.99123305
10481,0.7236305
11229,0.46173137
15101,0.3256853
8467,0.71133035
2937,8.972219e-05
17873,0.63317305
3763,0.0001523228
18512,0.5548483
2267,0.00068843976
11601,0.39131832
10446,0.3802188
8476,0.9349876
17714,0.68190336
7771,0.5123566
1552,1.9150448e-06
6939,0.89278704
812,9.063466e-06
8511,0.7964897
13341,0.5079974
5119,1.674025e-05
12973,0.83552736
8789,0.5080784
16760,0.0053327032
11163,0.4034805
12419,0.94622207
8009,0.2889884
13542,0.6290018
17019,0.4252133
10948,0.42374077
9089,0.983347
3800,0.004378697
10213,0.34337035
14013,0.28978077
12886,0.89022744
9421,0.413541
17827,0.59721285
3005,4.0532526e-05
4853,0.030175308
14104,0.5642744
15073,0.5273863
17775,0.9289366
16392,0.9831919
1204,9.666542e-06
17068,0.4569073
11709,0.9949456
11325,0.9407187
14894,0.9957094
9869,0.0011637172
7630,0.6438563
7268,0.50546134
11064,0.30385417
9550,0.98238754
4849,0.00074411475
17547,0.37117893
1956,0.022451658
2963,0.0009577944
10025,0.94034994
17009,0.24774289
19173,0.96853495
18722,0.5520345
11258,0.28113022
16778,0.6913543
8276,0.6766927
1521,0.022867251
9881,0.7578406
18628,0.9138146
17964,0.6706186
3196,8.432388e-05
7171,0.945899
1974,0.0011381941
3606,1.789526e-05
16994,0.3152555
14578,0.34548908
17627,0.4644386
11626,0.40611416
11718,0.5552179
5706,9.301335e-06
16422,0.6394372
11971,0.52632344
1091,0.0010285019
4451,0.0033853964
4230,0.06859476
14813,0.44225547
1630,0.00016920234
17612,0.9585244
1893,0.001003392
9700,0.6203137
3270,2.7907672e-06
12585,0.5321565
4290,0.01565125
10995,0.87904334
8329,0.47148234
14234,0.7386616
7599,0.3079827
12399,0.6300708
1935,0.8101332
7375,0.9702028
3090,2.1171172e-05
17753,0.28721482
16669,0.69008106
5834,0.024222156
2638,1.9199547e-06
12247,0.7024536
7681,0.53871894
14014,0.6632209
16523,0.51474696
15718,0.8694236
16272,0.70708436
7287,0.48790607
1165,0.00058855297
15972,0.634191
2679,0.014190892
9698,0.40219784
12687,0.8114505
18494,0.4169715
1763,0.00010397719
18839,0.2094377
8378,0.8132004
1771,0.0006415185
11332,0.8800232
15260,0.42232195
18030,0.59351903
2700,2.3940124e-06
17859,0.7506809
12433,0.5753791
2016,3.4488708e-06
4391,7.337139e-05
3053,3.1451902e-05
14765,0.3481643
19040,0.8977218
380,0.15840252
1274,6.932958e-05
13908,0.88904923
5615,1.542092e-05
14043,0.6053428
18310,0.50288826
2714,5.936093e-06
14263,0.39964813
17316,0.5120039
11462,0.44460216
14022,0.39289424
9036,0.5772977
14841,0.33757696
4901,4.6703494e-06
10830,0.7706191
11599,0.58894145
5560,0.0006349676
16549,0.35221106
180,0.0026604116
10486,0.56837076
4318,3.6222813e-05
3438,7.688194e-06
12051,0.65447444
9527,0.424208
8909,0.37789056
10611,0.6574261
17884,0.69466156
5708,0.008026081
8026,0.2521346
416,0.006649898
9042,0.23076986
18389,0.4620853
6472,0.00020064344
775,0.0069184243
601,0.0020521453
18096,0.41983214
4472,1.5693126e-05
15153,0.5750099
3083,4.94791e-06
8761,0.99139845
5187,0.00020765528
12136,0.6715502
11668,0.99616015
16995,0.5952047
17832,0.90472096
7123,0.5645596
1790,4.3901678e-06
9389,0.44389224
15097,0.5505169
2585,0.0010906876
429,8.485974e-05
5051,0.00093089195
5562,0.0011515559
5424,0.0008162698
7818,0.67945474
16843,0.643533
1793,8.547535e-05
5154,0.03385913
3498,2.4995794e-05
13898,0.6088008
10117,0.13473201
8005,0.9551352
2527,1.0330485e-05
15311,0.39898223
9821,0.69377965
7432,0.7827831
14532,0.7403466
3628,4.9941e-05
10062,0.7060692
11263,0.9867126
17140,0.4348777
797,3.3199776e-06
5043,1.3313459e-05
16635,0.6414558
13856,0.64256954
16747,0.7052846
9398,0.17982633
17408,0.36875948
11879,0.9738747
7985,0.5066732
1099,2.7188573e-06
17571,0.9872471
11585,0.95088655
11443,0.9375446
6044,8.8363144e-05
5431,6.8622444e-06
457,0.0020972167
14852,0.29372793
2283,0.0012102501
11195,0.15184316
4138,1.9741037e-06
2060,2.9349272e-05
3393,3.463465e-05
10628,0.6122228
3672,2.0315986e-06
9301,0.05226902
11945,0.06422547
12529,0.47747427
5565,0.00011384782
13586,0.52016634
18116,0.8393995
5386,1.0151974e-05
12271,0.9385144
12187,0.58107555
2432,1.6054e-05
14226,0.52481574
5895,0.017825766
11134,0.86949396
17584,0.5012362
9680,0.6234376
15659,0.39823183
9307,0.68380857
8552,0.91012365
12278,0.3521032
16823,0.39764947
1011,0.0006272332
3425,3.697253e-05
13976,0.5762364
5455,4.232219e-06
2967,8.902327e-05
15406,0.45378664
11642,0.560254
9980,0.6006724
11446,0.5978643
16456,0.8236671
13603,0.8923023
9190,0.86249614
875,0.007940063
8668,0.979111
6609,0.9901418
18731,0.42647785
14362,0.43018916
13841,0.46539113
17232,0.32936367
17616,0.48104385
8596,0.9835097
8589,0.48880482
1340,0.00027676704
16296,0.4385544
4413,0.0014602815
7112,0.51066095
14326,0.4213714
1987,3.8329792e-05
15692,0.59892434
14682,0.58217144
5803,2.0695868e-05
631,4.2618114e-05
1142,5.2408814e-06
5592,2.9771766e-06
811,8.0577585e-05
6981,0.9857167
11231,0.9352133
19169,0.64656115
3226,0.00034690087
5854,0.00013091702
179,0.00095616723
13030,0.85352576
14678,0.59389025
15702,0.6106263
14745,0.36228034
1832,7.4084295e-05
13067,0.7358402
2661,0.002836766
13991,0.6114002
8827,0.32639387
5920,0.5041549
4930,0.00043113864
14837,0.45518392
13798,0.67613024
1957,2.9208017e-05
7556,0.5224954
14687,0.33782765
16755,0.501353
8919,0.44188532
13384,0.37498346
11006,0.6701934
2082,0.0005931253
12165,0.05220815
12322,0.9914473
5566,4.590556e-06
2519,0.0004128284
14278,0.17758964
7247,0.784992
10925,0.9963355
4015,2.982337e-06
11674,0.60929453
9344,0.99656194
5990,0.0006281371
384,0.013191997
11525,0.9897831
5846,0.0008454254
13705,0.66584754
4567,0.00029506203
5728,5.2327555e-06
19088,0.40779725
6566,0.9434156
1786,0.00076399965
729,0.00013353239
17918,0.84831965
7980,0.5112674
10388,0.7129042
7907,0.98395133
19064,0.7759465
781,0.016300643
18348,0.8214132
11005,0.61551094
5940,0.00013056558
1824,0.023171775
7579,0.8046884
15731,0.4282329
4034,3.2155876e-06
826,1.82817e-05
1765,0.14137618
2890,5.066845e-06
9126,0.36513066
17740,0.75735664
409,0.0064006057
2335,0.0012899769
13646,0.042953856
5553,0.0054845884
17091,0.48297548
13167,0.50012344
12739,0.98352
16200,0.9865376
8644,0.84738755
6885,0.805396
4369,0.0006967221
5776,3.1547635e-05
11981,0.9377081
7222,0.45060477
15742,0.48452318
14170,0.7650397
2911,0.00055189576
11615,0.9962819
8398,0.8583925
106,3.828278e-05
10936,0.5258355
4757,5.545564e-06
9366,0.8833902
17816,0.44382027
9602,0.2483213
11217,0.9962262
6835,0.56437975
10472,0.6644066
4341,3.0272863e-06
2347,1.5839572e-05
922,0.009615604
4604,0.00039202257
3414,8.334418e-06
3168,3.9766637e-06
14471,0.989388
3605,0.01183127
13152,0.44887355
1734,0.0026449286
10413,0.58943135
17752,0.3758991
3796,0.030090496
1665,1.0387347e-05
8120,0.6640907
7005,0.51722777
6874,0.8092631
15882,0.53562266
15803,0.71972996
1108,7.0677215e-06
17539,0.36740512
3014,0.0003165084
2193,0.0005694909
16342,0.4914656
3141,1.220339e-05
15716,0.33196214
11416,0.6337781
8700,0.5391027
5671,0.0004332247
8376,0.657178
7646,0.60793287
17566,0.51946676
13957,0.90589476
1653,0.011182769
10274,0.9969494
10557,0.47009298
3835,0.00011189908
13631,0.9450501
10661,0.54630756
14221,0.17493385
13737,0.36961284
16750,0.7651047
7506,0.7847999
3791,0.03640352
12865,0.9887971
2140,0.0023443566
9246,0.437533
10757,0.574083
713,0.0880304
16972,0.51057565
371,0.015548837
6353,2.1929322e-05
14396,0.40570375
17719,0.62737226
9337,0.9786622
1372,0.000656153
3038,0.00014327394
10530,0.5026774
13129,0.574229
17683,0.56513137
1264,1.4405001e-05
8728,0.28928605
561,5.037695e-05
7871,0.5153062
19056,0.7045491
7122,0.6981398
11877,0.4436977
15705,0.8026253
11814,0.331465
784,2.4325316e-06
9971,0.85991347
3102,1.5592594e-05
15633,0.649644
18996,0.33974364
14150,0.4787579
7673,0.2363361
3034,1.7483924e-06
11105,0.91618085
11501,0.6102274
6568,0.7274502
3482,8.951981e-06
9510,0.2905179
2142,3.511107e-05
18556,0.6065639
16703,0.29371962
6259,0.0035236764
1037,2.3710118e-06
15409,0.32343474
2427,0.009826989
13136,0.9467864
6805,0.39954808
9533,0.45355713
6901,0.4131488
17935,0.9402927
15300,0.320953
17105,0.23763843
6358,6.239092e-06
10752,0.9828744
5303,2.723832e-05
5509,1.9313078e-05
8035,0.2763282
18338,0.82016873
16402,0.59310806
18938,0.57055885
9620,0.27039656
17938,0.407674
9576,0.79901946
15254,0.41410637
1727,1.6103493e-06
1291,0.00013519733
14724,0.90641147
8779,0.994091
12987,0.44933888
12989,0.63222635
9653,0.5103942
13406,0.16994804
5017,1.15134235e-05
2600,0.00078785134
5138,0.0008915136
8474,0.667898
14549,0.90171456
2482,6.87181e-05
7473,0.2729383
5829,0.0033668636
16165,0.41268605
10885,0.33188573
2866,9.496624e-06
6388,0.02871634
2705,3.427051e-06
14895,0.9911232
12349,0.16385953
18465,0.48344845
9823,0.94038665
6318,0.020373825
15522,0.8334491
10190,0.25226644
12238,0.44663894
17728,0.98636043
1254,0.00089984806
10846,0.42015678
10034,0.937569
9298,0.6207534
16745,0.87979853
16890,0.3677719
18832,0.6752573
8893,0.64866877
870,7.3071315e-06
1678,0.0011303552
13307,0.79918104
15435,0.6024866
14655,0.674936
2392,3.385173e-05
12895,0.20475458
7800,0.60046405
7566,0.44670382
14009,0.2389242
4073,0.002486168
508,5.7989773e-06
6482,6.096477e-06
9122,0.90374196
14865,0.9631918
14343,0.7651595
4389,0.00027219302
17693,0.42480952
1404,0.0002596541
1464,0.00028748543
7884,0.49359033
11017,0.3539062
15431,0.9020976
14351,0.57143
6317,0.014008921
10743,0.8986521
11990,0.6496107
13551,0.44492856
15112,0.464597
9133,0.46391267
906,4.9252653e-06
13290,0.7642632
14251,0.9967192
9245,0.48737857
11326,0.33006698
7323,0.5676173
13090,0.61271673
1655,2.7396867e-05
17607,0.20394391
13107,0.9974618
16921,0.6293263
14093,0.9468977
12698,0.60643023
10583,0.6091365
18978,0.82569593
4133,0.057637785
11221,0.70301414
11680,0.2056189
10192,0.6274912
11370,0.8064088
12538,0.044566806
16292,0.6867508
5789,2.9463808e-06
3105,0.00016651936
9333,0.40954995
8342,0.63766533
10094,0.7265037
7110,0.5263229
16805,0.59934664
3046,1.5648218e-05
701,1.2870117e-05
11757,0.46680713
12659,0.24663243
17021,0.16393709
5180,0.00074682134
3066,5.6380704e-05
12949,0.3642609
13146,0.99673957
8409,0.67606646
9566,0.7020578
16021,0.57414836
15313,0.7844518
18983,0.7800003
10400,0.3764925
11960,0.9897391
14649,0.2706608
17758,0.38720775
11108,0.40738335
6151,0.036739636
8619,0.30665126
1292,1.16481615e-05
11365,0.67102915
8410,0.9749653
19139,0.7553615
13429,0.5660867
9689,0.5513682
1175,9.837362e-06
4859,6.577257e-05
17697,0.57238746
3189,0.0007162992
11919,0.49765885
6212,0.00048049507
6584,0.5654517
12023,0.61088026
1127,0.0003564855
2971,0.025851792
5882,1.5426878e-05
8164,0.9967045
16325,0.6701321
9210,0.5276315
10776,0.5699537
1776,0.014522505
12697,0.9732231
14885,0.92212176
11640,0.9913419
1982,0.016046243
11898,0.38415983
13561,0.978926
2693,0.00982671
7777,0.4338439
5915,7.5440453e-06
1516,0.00013278378
7597,0.5475134
18658,0.34371215
428,0.022018906
16696,0.48046952
16756,0.4447212
18836,0.046949692
8360,0.9821347
7349,0.8864429
16931,0.38010973
10551,0.8652743
18604,0.6882873
8612,0.21044008
14823,0.6963441
6,0.9300449
15997,0.9269909
1861,2.649869e-06
5694,1.2769645e-05
15529,0.43368372
17317,0.6388608
14350,0.48488536
9067,0.99382025
9810,0.8243253
205,6.307996e-06
17237,0.07184882
907,4.0893956e-06
6725,0.8322339
9373,0.1595542
6456,5.095053e-05
16204,0.6107863
15176,0.43386802
421,2.726712e-06
11608,0.6000269
5480,1.7947248e-05
19005,0.38690788
2219,0.002744839
2036,0.002012267
11556,0.42181873
2320,3.1917812e-06
17387,0.40447298
2395,0.004895751
11651,0.5485483
1985,0.00054081285
1543,5.8484125e-06
13730,0.75043184
17985,0.23529314
10460,0.8730843
17187,0.56510913
8533,0.60730994
12557,0.51788515
6675,0.919844
2065,0.0002971559
13733,0.62581235
4662,8.929182e-06
14099,0.77958894
5801,4.237352e-06
10085,0.817807
15490,0.09713864
11402,0.24350305
16347,0.57028276
4460,5.5637925e-06
13510,0.43156984
394,0.06957046
3165,3.333913e-06
12087,0.9192281
9774,0.5167895
12122,0.9935621
376,0.029207373
8184,0.56021917
4063,6.942584e-05
13671,0.95627785
17383,0.5058605
18688,0.56124717
2790,0.008922339
3694,0.0035032204
4517,1.5058056e-05
19044,0.5580829
4130,6.715618e-06
18887,0.35953787
3988,1.7839337e-05
17273,0.9928076
5891,0.007597635
7855,0.53330845
5077,7.373218e-05
1941,0.00037319798
471,0.000102625214
14648,0.0021197796
10695,0.6141635
16592,0.09490337
13670,0.73411614
13299,0.97295433
12994,0.98595226
10853,0.28535065
2071,0.026615966
4307,2.43328e-05
951,4.6523146e-06
9216,0.99336535
5923,3.132869e-06
6185,7.27933e-05
11166,0.5074949
14317,0.7006612
15245,0.6792383
4697,6.6484085e-06
4747,0.0009900433
10804,0.8192811
16400,0.76498514
16672,0.47607833
15821,0.59244186
12772,0.11921857
13115,0.37352535
14888,0.43076393
12534,0.42019448
3770,3.3434488e-05
10594,0.6359048
11789,0.5041732
14963,0.5392303
13365,0.67985874
2654,0.0046713925
18446,0.6481683
18400,0.31306273
14953,0.4232536
6985,0.3262621
5738,1.9521809e-05
7666,0.23046295
5843,0.0007809374
11024,0.3703653
8598,0.9963736
18969,0.9930957
301,0.006749086
14445,0.96493816
15507,0.5438972
16016,0.6419507
14270,0.467882
18361,0.9691107
9482,0.18306826
18572,0.94158614
14478,0.8137415
16806,0.36813566
15746,0.3654347
2165,0.003375082
5754,0.024741719
18009,0.9849668
13956,0.42924035
3447,0.00034421252
11192,0.9601841
10488,0.7369161
10326,0.66913015
4018,0.00013250425
8263,0.37543917
16554,0.4989173
7887,0.61496246
2111,0.0007420781
5879,0.01830119
2838,1.5461326e-05
5299,2.3994044e-06
12680,0.45155403
13986,0.62776256
16932,0.9622976
3834,1.9902809e-05
2933,0.00043586295
1691,4.4978187e-06
10263,0.52307683
13,9.988495e-06
9150,0.8408219
2873,2.8291217e-05
17081,0.49904457
6948,0.7614724
7587,0.4837039
18288,0.48902035
9169,0.55790824
15038,0.19406727
11153,0.69443446
12805,0.65225434
1953,2.3452343e-05
15945,0.6688701
3772,0.05110714
8560,0.25004956
12520,0.2913083
15102,0.6865595
8030,0.51352775
6365,1.4128988e-05
4954,7.816693e-06
9539,0.943501
18414,0.60315
6961,0.82253957
15190,0.25248674
17199,0.4298638
12356,0.35887387
2512,0.014912876
2936,0.00017052804
17642,0.041660514
10597,0.28674814
13554,0.36700985
12366,0.6076455
6494,0.40936998
14818,0.6607535
15061,0.34518197
14220,0.82436705
14513,0.58585376
9149,0.7651497
9220,0.32992718
15875,0.5058364
10385,0.98203236
13507,0.50712544
16940,0.5125644
9675,0.42386016
2115,0.00018319514
12461,0.45017874
15853,0.16330886
1862,0.000116513445
1467,2.8461265e-05
3828,0.045752127
6301,4.8276444e-05
6331,0.023677718
12471,0.15254971
5179,0.0021140047
4827,1.5017214e-05
10521,0.5431704
13083,0.31775078
11938,0.5882078
18571,0.23579921
126,9.862762e-06
9430,0.5201795
18867,0.9605423
12255,0.049297765
2665,0.0004655846
10394,0.43462625
13055,0.7722364
4531,1.573522e-05
8841,0.2831046
5868,0.011027442
6977,0.55194676
505,5.4115637e-05
16173,0.634763
11755,0.5201108
18488,0.5501254
18493,0.56581205
2938,0.0002883556
14185,0.5686525
11442,0.48289886
14790,0.9644537
3872,0.0008330854
7179,0.5419643
8832,0.4587735
1530,0.00012860242
7373,0.8828067
6727,0.39406073
12128,0.5825463
3171,0.00011217387
16471,0.41683063
15268,0.68171203
8400,0.8901297
17708,0.97781086
11613,0.45905602
18249,0.7896986
1408,0.00028024998
4548,0.00014037339
7277,0.22187544
6999,0.5034476
17869,0.6216147
482,3.6322606e-05
13848,0.9061296
11394,0.27915823
18581,0.6750905
1923,3.0243834e-06
11783,0.5993195
9349,0.66842467
9594,0.9867661
12821,0.19976917
12445,0.9601476
14783,0.8026438
6335,2.6226007e-05
3598,5.0339586e-05
8105,0.5479591
10524,0.8911147
13194,0.5974343
18436,0.5174732
10593,0.33359525
3788,0.031965297
18140,0.28134534
9151,0.52187
1435,7.471957e-05
12522,0.52816606
13354,0.9729503
9965,0.81344724
9208,0.59190214
17015,0.7858511
17042,0.64077955
5356,0.018863754
7939,0.45914918
3248,2.513993e-06
3380,8.3840154e-05
18274,0.8013324
5932,3.7497905e-06
17947,0.79424065
8096,0.73342955
1428,0.0014927322
12385,0.44112596
16026,0.5865324
9057,0.0050992114
944,7.5975518e-06
2942,0.0017487445
11595,0.55397123
9950,0.8146409
2753,4.5786473e-05
4067,0.00013571141
2245,1.9286299e-05
18743,0.4743467
18076,0.10288928
14957,0.6963858
3601,0.0023490654
9612,0.25719705
18421,0.93827844
12141,0.39593908
4565,0.004814187
26,0.018158594
14466,0.5410613
7245,0.7217414
15413,0.595016
18702,0.45521814
6422,0.0063972343
5114,0.035907824
15570,0.19207406
5794,0.00013119997
10787,0.9955758
7056,0.7080838
3542,0.35789385
8211,0.8663014
15114,0.580683
5306,4.0207375e-05
6246,0.005269063
6316,6.1593228e-06
9233,0.67456627
13720,0.16662607
14279,0.798877
17333,0.9895718
10531,0.1915983
6209,9.07142e-05
12232,0.29802778
1299,0.00081792305
9852,0.61867017
17849,0.891954
10089,0.39710754
14376,0.9506903
5390,0.0001017107
9977,0.29860714
3737,4.7507688e-06
8910,0.64971536
5394,4.8139307e-05
13616,0.9427891
13788,0.53350294
5275,0.00015930302
16442,0.85746294
495,5.1382544e-06
15918,0.23858038
10340,0.53575593
15187,0.87486273
1118,1.4743649e-05
13574,0.2674022
8945,0.5688721
15145,0.5148467
11297,0.9926407
9189,0.75078523
1847,4.4332337e-06
15915,0.83222115
18997,0.44660765
14929,0.8020018
6173,4.8706893e-06
11194,0.70209134
1578,0.019127024
13905,0.55749714
8449,0.51822937
2085,0.03015948
8698,0.98941493
15480,0.95877934
17496,0.83090776
9862,0.9041008
17515,0.97105455
19022,0.4731279
806,0.00014738635
9016,0.5193213
6951,0.4463241
582,4.496352e-06
5467,1.180882e-05
10703,0.6098902
15557,0.9484557
11989,0.3619909
4322,7.764789e-06
13191,0.56540155
6210,0.0007547987
16840,0.9970245
14722,0.88686615
18600,0.22632098
17233,0.7853129
17201,0.59367925
12277,0.63288313
17246,0.25033203
14405,0.945704
1166,4.11169e-06
12451,0.97025764
4519,0.022126574
16153,0.8053549
1998,5.323331e-06
7246,0.742545
9407,0.976794
12902,0.3807213
14078,0.3983746
12394,0.5003637
3036,1.2709931e-05
16122,0.5125777
4214,5.7936424e-05
14073,0.4871613
6406,2.7137123e-05
13482,0.48589045
11481,0.5435477
6324,0.005840462
11095,0.74123436
5265,2.722884e-05
18987,0.47214532
6744,0.71406436
15721,0.99519145
2303,0.00052565604
13669,0.85922194
9055,0.19692314
3530,0.00013733041
2589,0.006364035
15504,0.64306974
9952,0.61853594
15807,0.9481023
15263,0.40112498
11939,0.19465761
1328,0.02237738
1069,0.00069511053
10737,0.4213764
4360,0.00010241347
7284,0.5269681
10336,0.8003828
19009,0.33601302
1006,3.640625e-05
549,0.001228559
7675,0.64298636
14180,0.3612276
4176,9.5959556e-05
17481,0.37918413
8138,0.9936553
11659,0.4232869
991,0.001849718
10683,0.4573451
18158,0.83549345
13016,0.3220733
6863,0.44291326
2441,1.6201402e-05
5223,5.566048e-06
17085,0.5808908
15410,0.14951065
4792,0.0034532922
2035,2.9933133e-06
12855,0.41759703
4964,2.3620525e-05
6453,1.0344631e-05
5894,0.00016731769
14342,0.28367847
11461,0.5012383
10623,0.6733849
8510,0.47608003
8274,0.6411401
255,0.00019972419
13393,0.41687435
552,2.8096395e-06
10402,0.42442244
18877,0.62576306
17331,0.739193
14602,0.8856247
9642,0.2633143
13963,0.9683571
12010,0.98097676
6450,3.8351656e-05
3536,0.00019962747
3131,0.00013278364
9102,0.4649532
14626,0.53325015
8326,0.61724806
3383,0.00036857504
17410,0.47622964
12138,0.8197273
13127,0.5553665
14435,0.898355
655,7.0949905e-06
16269,0.9576265
5524,0.0023534612
13830,0.21559131
9773,0.7330817
1198,0.00035301398
8883,0.14729874
