,local_coherence_prediction
28,0.51555717
28,0.45103166
28,0.4879752
28,0.3602633
28,0.3294124
28,0.5199915
28,0.4498218
29,0.36970252
29,0.56507224
29,0.43733707
29,0.47607234
29,0.4954962
29,0.43545437
29,0.4778506
29,0.41280672
29,0.41165623
29,0.4016884
29,0.14799955
29,0.21466367
30,0.6048368
30,0.70160013
31,0.4862291
31,0.5084802
31,0.30522418
31,0.51570845
31,0.47153604
31,0.47474945
32,0.4751965
32,0.46446827
32,0.2350644
32,0.26443085
32,0.3309632
32,0.38026184
32,0.43485236
32,0.48807538
32,0.27673167
32,0.4502639
32,0.48024672
32,0.3912387
33,0.51737356
33,0.4172038
33,0.47765383
33,0.40142995
33,0.410978
33,0.5445325
33,0.55777067
33,0.5085369
33,0.40937668
33,0.35234538
33,0.29867962
33,0.40614933
33,0.22333485
33,0.48189464
33,0.4751984
33,0.4986658
33,0.5366544
33,0.4112579
33,0.42183483
34,0.38528138
34,0.4030885
35,0.30026117
35,0.5549533
35,0.448441
35,0.48454797
35,0.49710634
35,0.45346004
35,0.29944563
35,0.2806744
35,0.31949767
36,0.4180508
36,0.48145288
37,0.25577554
37,0.29986495
37,0.36420703
37,0.3918193
37,0.48379296
37,0.5830523
37,0.46068847
37,0.5004125
37,0.46010455
37,0.51269484
37,0.3536282
37,0.42086148
37,0.28676406
37,0.3925408
37,0.48345324
37,0.2705945
37,0.55355734
37,0.65509415
37,0.6005466
37,0.49391252
37,0.28241313
37,0.35518852
37,0.45611888
37,0.5127861
37,0.22176953
37,0.3032653
37,0.22616105
37,0.34084788
38,0.67897564
38,0.52952987
38,0.69974715
38,0.70384234
38,0.5041336
38,0.64553934
39,0.5699352
39,0.34210187
39,0.23335645
39,0.6374757
39,0.6329432
40,0.5500909
40,0.5334702
40,0.3591432
40,0.4585113
40,0.5837759
41,0.5081707
41,0.34917942
41,0.38038138
41,0.4003814
41,0.35987794
41,0.4483784
41,0.32556796
41,0.5226546
41,0.3126251
41,0.34970707
41,0.39421484
41,0.42365253
41,0.52898055
41,0.50808597
41,0.43954375
41,0.39200202
41,0.36876664
41,0.4277654
41,0.31297603
41,0.32407495
41,0.5981087
41,0.6407189
41,0.35195002
41,0.56288064
41,0.28401807
41,0.19743429
41,0.54692763
41,0.6240441
41,0.5294285
41,0.36828595
41,0.31674537
41,0.45754215
41,0.38392565
41,0.40886185
41,0.5211104
41,0.33413908
41,0.42042428
41,0.28887323
41,0.3603031
41,0.4366523
41,0.3866391
41,0.47624305
42,0.32615644
42,0.5540407
42,0.4419334
42,0.58318305
42,0.6848832
42,0.31412736
43,0.38911602
43,0.49086413
43,0.34598923
44,0.3298508
44,0.39667356
44,0.36061636
44,0.34013963
45,0.1920371
45,0.26392856
46,0.2588189
46,0.33044887
46,0.49438536
46,0.55306005
46,0.23972778
46,0.39175263
46,0.26274905
46,0.39309824
46,0.26849392
46,0.3767665
46,0.41263115
46,0.46253476
46,0.18341081
46,0.2255577
46,0.15189107
46,0.47480446
46,0.4978101
46,0.26596949
46,0.31895652
46,0.37295637
46,0.51562303
46,0.28840178
46,0.34506485
47,0.39938357
47,0.5379655
47,0.5260806
47,0.40815043
47,0.3949653
47,0.3035674
47,0.22859515
47,0.52910453
47,0.37650478
47,0.36614767
47,0.4344082
47,0.27251816
47,0.5726532
47,0.442662
47,0.38276637
48,0.331145
48,0.5175549
48,0.5278925
48,0.3895999
48,0.5330533
49,0.3458726
49,0.2565543
49,0.2579299
49,0.22442831
49,0.20094387
49,0.21180063
49,0.27065858
49,0.2931666
49,0.26805967
50,0.39023352
50,0.28232503
50,0.2864793
50,0.46481237
50,0.46268752
50,0.35917917
50,0.43727398
50,0.3927907
50,0.38875073
50,0.54186475
50,0.4178369
50,0.23938327
50,0.38578817
50,0.34198275
50,0.5018325
50,0.45395032
51,0.36583358
51,0.45401764
51,0.46967384
51,0.58104414
51,0.5382776
51,0.61464655
51,0.4263451
51,0.5884783
51,0.5168353
51,0.41799635
51,0.5173504
51,0.5262621
51,0.12546453
51,0.45813206
51,0.29537678
52,0.5290746
52,0.52937704
52,0.531738
52,0.37346992
52,0.5373467
52,0.5481788
52,0.5660932
52,0.57490134
52,0.6492122
52,0.5300664
52,0.51036733
52,0.47392565
52,0.48164767
52,0.21650743
52,0.41086647
52,0.50724256
52,0.38929045
52,0.27762225
52,0.15962182
52,0.29904133
52,0.40520748
52,0.5146898
52,0.5722041
52,0.47711006
52,0.42310098
53,0.191546
53,0.40050447
53,0.36041588
53,0.22568995
53,0.08271591
53,0.42514175
53,0.14785914
53,0.53656435
53,0.09993924
53,0.42688328
53,0.3463473
53,0.47339085
53,0.38722932
53,0.5068884
53,0.3136792
53,0.28289783
53,0.43735605
53,0.5312621
53,0.13389152
53,0.30219418
53,0.35552806
53,0.36646765
53,0.5388922
53,0.29460564
53,0.12679566
53,0.24039854
53,0.28584608
53,0.39251003
53,0.17815433
53,0.2384521
53,0.4981684
53,0.5148879
53,0.5134264
53,0.45472345
54,0.47963813
54,0.42890343
54,0.49385703
54,0.27712828
54,0.65133286
54,0.54045635
54,0.4758687
54,0.29545328
55,0.6192441
55,0.679907
55,0.7022324
55,0.72101825
55,0.5468607
55,0.60731936
55,0.46081895
56,0.30314535
56,0.32376435
56,0.3458987
56,0.37045738
56,0.3733093
56,0.34886476
57,0.488714
57,0.47812828
57,0.5694695
57,0.3134784
57,0.547906
57,0.5464007
57,0.5359547
57,0.46023917
57,0.52911353
57,0.48242074
57,0.45008737
57,0.4055322
57,0.55438656
57,0.46212822
57,0.3093061
57,0.36089858
57,0.21029146
57,0.36488986
57,0.28843462
57,0.4917447
57,0.44799381
57,0.4492974
57,0.5911498
57,0.44688258
57,0.5422982
57,0.2662587
58,0.32463044
58,0.40632465
58,0.44905698
58,0.32138628
61,0.41650933
61,0.3177717
61,0.33017462
61,0.45414782
61,0.48555323
61,0.41889435
61,0.5721634
61,0.3494152
61,0.4036557
61,0.35096017
61,0.48230752
61,0.5742184
61,0.2969412
61,0.6561767
61,0.5143446
61,0.34468684
61,0.28934303
61,0.26178455
61,0.25262794
61,0.2586108
61,0.5589289
61,0.47838113
61,0.4088027
61,0.5697326
61,0.39814886
61,0.3634106
61,0.31636852
61,0.32620302
61,0.38897678
61,0.317535
61,0.32750696
61,0.30232352
62,0.30276403
62,0.44353023
62,0.34091544
62,0.6146017
62,0.3125148
62,0.3785982
62,0.35197678
62,0.53442526
62,0.49284998
62,0.40393692
62,0.29183716
62,0.21888787
62,0.20863163
62,0.25772548
62,0.31256163
62,0.45230043
62,0.41361913
62,0.347776
62,0.52125263
62,0.5165341
62,0.4266746
62,0.5906503
62,0.27478394
62,0.20921671
62,0.2110357
62,0.44922864
62,0.28603244
62,0.20685215
64,0.3311026
64,0.5143216
64,0.6353975
64,0.6737892
64,0.53806293
64,0.43619987
64,0.33445588
64,0.4442605
65,0.346663
65,0.33564958
65,0.34863207
65,0.41097856
65,0.50946
65,0.30208126
65,0.29749763
65,0.33605093
65,0.4246043
66,0.6843107
66,0.5416565
66,0.58223605
66,0.33014968
66,0.6281992
66,0.6419929
66,0.32634386
66,0.678325
66,0.027670829
66,0.23919956
66,0.66338813
66,0.33449358
67,0.5405746
67,0.26908055
67,0.5416461
67,0.5301605
67,0.60164464
67,0.6643744
67,0.573493
67,0.5988695
67,0.48643067
67,0.5588248
67,0.68042964
67,0.55986977
67,0.49452436
67,0.10056523
67,0.5130824
67,0.5990897
67,0.6375083
68,0.5584128
68,0.59923965
68,0.5469835
68,0.60289836
68,0.66584426
68,0.6202853
69,0.39962256
69,0.32889262
69,0.5541984
69,0.6619306
69,0.3693616
69,0.48504472
69,0.5770102
69,0.6634361
69,0.60776657
70,0.54338217
70,0.429668
70,0.46210134
70,0.36409888
70,0.52280676
70,0.71416247
70,0.6844584
70,0.5087675
70,0.43176228
70,0.5645779
70,0.3552618
70,0.30728778
70,0.32347256
71,0.38204563
71,0.2954674
71,0.36612347
71,0.24303117
71,0.4355767
71,0.3031704
71,0.35228813
71,0.32943487
71,0.31749365
71,0.15559007
71,0.30276144
71,0.189469
71,0.38691777
71,0.23029207
71,0.4391983
71,0.39903584
71,0.34041718
71,0.43827096
71,0.39570943
71,0.33684093
71,0.40855715
71,0.14223994
71,0.21867213
71,0.26999894
71,0.27109548
71,0.12987792
71,0.17855869
72,0.4240795
72,0.59768575
72,0.68462104
72,0.6727425
72,0.58889717
73,0.18083322
73,0.0800391
73,0.36953926
73,0.70534396
73,0.7101652
73,0.6653782
73,0.5262914
73,0.63139826
73,0.5466722
74,0.38191825
74,0.378867
74,0.43694627
74,0.4288499
75,0.5096386
75,0.3070431
75,0.29202312
75,0.41950002
75,0.4239197
75,0.509192
75,0.5724443
75,0.49730787
75,0.54645514
75,0.41196638
75,0.50203377
75,0.40247387
75,0.27926925
75,0.601305
75,0.41312802
75,0.4683677
75,0.50550836
75,0.5650767
75,0.4828913
75,0.5852565
75,0.56401217
75,0.4307662
76,0.29260746
76,0.27915674
76,0.3035141
76,0.35047302
76,0.29731753
76,0.3438496
76,0.27893212
76,0.49672946
76,0.22115773
76,0.3068477
76,0.5981609
76,0.40291986
76,0.25097767
76,0.53511465
76,0.17299426
76,0.33775178
76,0.3226314
76,0.3831836
76,0.38248727
76,0.32310238
76,0.45783827
76,0.37673965
76,0.35062525
76,0.33444136
76,0.3894714
76,0.41128644
76,0.36869553
77,0.5692427
77,0.6920179
77,0.7484213
77,0.7065106
77,0.5888872
77,0.42360443
77,0.6224105
77,0.6982186
77,0.6888925
78,0.47815794
78,0.39859483
78,0.35672864
78,0.386234
78,0.76039326
78,0.6475638
78,0.7373173
78,0.7260436
78,0.4875924
79,0.39816868
79,0.592561
79,0.6181169
80,0.25806305
80,0.57868737
81,0.25061524
81,0.22625683
82,0.24535768
82,0.3341099
82,0.44887507
82,0.38665718
82,0.3249307
82,0.30545524
82,0.44484502
82,0.32915244
82,0.3903123
82,0.4339313
82,0.42566675
82,0.3517648
83,0.4106063
83,0.39123774
83,0.41159785
83,0.26613313
83,0.31725731
83,0.40619466
83,0.27757925
83,0.32535046
83,0.53291446
83,0.34315023
83,0.41696885
83,0.32393947
83,0.46393433
83,0.49376306
83,0.472543
83,0.35433018
83,0.5706074
83,0.36354327
83,0.4702549
83,0.33044755
83,0.32326075
83,0.45521107
84,0.37791237
84,0.26062182
84,0.35611486
84,0.19825315
84,0.6510081
84,0.57190335
84,0.6374587
84,0.5328112
84,0.56631744
84,0.63647056
84,0.67269784
84,0.6358625
84,0.3466693
84,0.49412918
84,0.31146842
84,0.46935982
84,0.24478184
84,0.2640755
84,0.6199638
84,0.42274445
84,0.38987264
84,0.180834
84,0.084210016
84,0.4531917
84,0.3023903
84,0.37893587
84,0.20484062
84,0.4469728
84,0.23551384
85,0.5510168
85,0.6432873
85,0.32815573
85,0.36491102
85,0.31432018
85,0.43281677
85,0.6577197
85,0.660169
85,0.56097317
85,0.5969419
87,0.5272994
87,0.54655796
87,0.69883174
87,0.6130287
88,0.35439447
88,0.32373905
88,0.6578647
88,0.38942072
88,0.3713429
88,0.4685792
88,0.53515816
88,0.7248796
88,0.6696741
89,0.6960383
89,0.5699736
89,0.47964308
89,0.45804507
89,0.34382698
89,0.59239465
89,0.52316827
89,0.45076278
89,0.53207695
89,0.35941032
89,0.23676899
90,0.5857305
90,0.5669243
90,0.63397783
90,0.76743764
90,0.59842646
91,0.4225777
91,0.35918853
91,0.41789806
91,0.43868986
91,0.41495368
91,0.4407872
91,0.2470196
91,0.41093102
91,0.2772451
91,0.33843946
91,0.5116472
91,0.33230045
91,0.22856265
91,0.43228874
91,0.5115718
91,0.49911857
91,0.43604326
91,0.3911857
91,0.5232407
91,0.2826816
91,0.2170787
91,0.45029807
91,0.28156018
91,0.3449785
91,0.42984557
91,0.5016806
91,0.44719255
92,0.5388628
92,0.6221839
92,0.4559388
92,0.60778546
92,0.7086632
92,0.45284453
93,0.40382698
93,0.37174067
93,0.47819507
93,0.31772253
93,0.44034356
94,0.21299148
94,0.16540241
94,0.17662932
94,0.6009196
94,0.39494002
94,0.35915795
94,0.40793383
94,0.4249582
94,0.3052834
94,0.24627432
94,0.3078721
95,0.29279968
95,0.48780563
95,0.57802725
95,0.4911899
95,0.57807696
95,0.5135531
95,0.46870744
95,0.5247992
95,0.34985405
95,0.29394698
95,0.2669156
95,0.13853845
95,0.3548305
95,0.4867216
95,0.42026412
95,0.48203918
95,0.47851035
95,0.39323273
95,0.33931088
96,0.6332276
96,0.5501404
96,0.45576423
96,0.5300332
96,0.70088726
96,0.64274067
96,0.5727524
96,0.54769385
96,0.656613
96,0.60061294
98,0.1943917
98,0.22919859
98,0.29364744
98,0.26972422
99,0.6088792
99,0.21798787
99,0.26425257
99,0.30656064
99,0.45558518
99,0.33273017
99,0.264472
99,0.45483512
99,0.3457667
99,0.3215017
99,0.5024643
99,0.44895825
99,0.49705356
99,0.46726257
99,0.41283926
99,0.5557963
99,0.18173565
99,0.16751616
99,0.4436121
99,0.3824419
99,0.48190382
99,0.4015601
99,0.49496615
99,0.3433226
100,0.6606129
100,0.53863776
100,0.26493627
100,0.67931974
100,0.38359377
102,0.39742723
102,0.29257852
102,0.15130825
102,0.30312425
102,0.42257443
102,0.48225126
102,0.55845916
102,0.3490684
102,0.26520348
102,0.34848696
102,0.43042526
103,0.6725981
103,0.6367696
103,0.59195143
103,0.72885346
103,0.48172903
103,0.43188465
103,0.26300138
104,0.42648897
104,0.454758
104,0.5565837
104,0.5655285
104,0.6681821
104,0.54927564
104,0.669785
104,0.5537566
104,0.53170365
104,0.35378614
104,0.24430431
105,0.5159042
105,0.591463
105,0.37597552
105,0.43603742
105,0.34823498
105,0.458615
105,0.46557358
105,0.5000688
105,0.38712627
105,0.4533177
105,0.31505325
105,0.48028654
105,0.5767246
105,0.37474298
105,0.2788908
105,0.5027772
107,0.30540743
107,0.26670364
107,0.36461365
107,0.22208515
107,0.3609036
107,0.3864566
107,0.19139591
107,0.406782
107,0.31372446
107,0.19819826
107,0.14702344
107,0.08955299
107,0.23745205
107,0.31972083
107,0.42610726
107,0.5550074
107,0.19007576
107,0.23976773
107,0.13115492
107,0.18763979
107,0.25769734
107,0.3237252
107,0.241343
107,0.19241711
107,0.33463973
107,0.39503404
107,0.35849193
107,0.46099156
107,0.19387124
107,0.3852764
107,0.25270525
107,0.23976724
107,0.32230833
109,0.5788974
109,0.4448909
109,0.5413253
109,0.5643878
109,0.15473212
109,0.23787938
109,0.21467242
110,0.2637666
110,0.4287568
110,0.5520319
110,0.41444263
110,0.55410576
110,0.48251244
110,0.2902423
110,0.55836564
110,0.4379278
110,0.16982059
111,0.62844515
111,0.6156695
111,0.5863933
111,0.58289874
111,0.5630098
111,0.53395116
112,0.40711817
112,0.7072107
112,0.55213284
112,0.6385596
112,0.7612161
112,0.71664387
112,0.77411413
113,0.044029687
113,0.50106204
113,0.31543642
113,0.32248914
113,0.46124366
113,0.6341876
113,0.27835906
115,0.23983143
115,0.3200883
115,0.49226978
115,0.40446815
115,0.27112234
115,0.25480384
115,0.37124616
115,0.3772435
115,0.36491492
115,0.31090674
115,0.41144466
115,0.25062716
115,0.36910695
115,0.36901307
115,0.4528949
115,0.3851044
115,0.30161843
115,0.30825597
115,0.2969567
115,0.48531166
115,0.42091548
115,0.2802985
115,0.32172304
115,0.33326325
115,0.40580297
115,0.43674552
115,0.41015247
115,0.23327564
115,0.2096135
115,0.21503098
115,0.36933348
115,0.50185347
116,0.4649696
116,0.6614437
116,0.5647889
117,0.6544306
117,0.39193
117,0.29584795
117,0.43864048
117,0.71444154
117,0.53558254
117,0.46516252
118,0.2773807
118,0.28649953
118,0.19760868
118,0.198468
118,0.23295203
118,0.33444834
118,0.4471592
118,0.33006734
118,0.4399921
118,0.34482467
118,0.46595725
118,0.51731086
118,0.33090833
118,0.56042486
118,0.44712844
118,0.2302632
118,0.26277584
118,0.29953134
119,0.23979244
119,0.22106119
119,0.19662061
119,0.37005296
119,0.25154373
119,0.37324983
119,0.16469258
119,0.38851076
119,0.40462658
119,0.3567174
119,0.2553554
119,0.47087422
119,0.25646845
119,0.29327953
119,0.49825493
119,0.19020998
119,0.28253993
119,0.475733
119,0.2825186
119,0.51533115
119,0.47494742
119,0.2216989
119,0.3116669
119,0.3258897
119,0.25657293
119,0.23965578
119,0.22917645
120,0.3460379
120,0.55851746
120,0.56189656
120,0.3617765
120,0.7011042
120,0.6827984
120,0.06833708
120,0.442874
120,0.22942641
121,0.55656946
121,0.6646165
121,0.5036046
121,0.4271431
121,0.64319855
121,0.67659473
121,0.6007011
122,0.35456154
122,0.40971756
122,0.5019343
122,0.23957825
123,0.3983769
123,0.24738671
123,0.39534235
123,0.30661377
123,0.14706232
123,0.36426356
123,0.36716917
123,0.48145577
123,0.44897097
123,0.5126419
123,0.40035594
123,0.40611124
123,0.5312939
123,0.39000386
123,0.31927598
123,0.3039501
123,0.3926492
123,0.40539026
123,0.28632972
123,0.3121411
123,0.21196
123,0.2675128
123,0.3859112
123,0.3725487
123,0.44297406
123,0.25137588
125,0.4261964
125,0.5525447
125,0.723865
125,0.72610295
126,0.34487644
126,0.43460876
126,0.420821
126,0.4749063
126,0.43676135
126,0.36719576
126,0.3747849
126,0.21752062
126,0.2822716
126,0.39838508
126,0.48793313
126,0.5171995
126,0.31306064
126,0.29796377
126,0.37548974
126,0.51374686
126,0.47243822
126,0.40695107
126,0.28423375
126,0.4215585
126,0.28119278
126,0.27585402
126,0.13689518
126,0.4121287
126,0.27842805
126,0.35137498
126,0.31668568
128,0.6246002
128,0.5835433
128,0.620057
128,0.62511194
128,0.6367487
128,0.27614427
129,0.3426482
129,0.44162098
129,0.49883103
129,0.4540616
129,0.31980863
129,0.29953536
129,0.48848885
129,0.40935284
129,0.4656944
129,0.4791012
129,0.26514572
129,0.44312012
129,0.32348314
129,0.27775097
130,0.45035905
130,0.41737857
131,0.4803595
131,0.4296453
131,0.5255224
131,0.60608476
131,0.33581898
133,0.41867286
133,0.49579632
133,0.20000778
133,0.2853427
133,0.24217072
133,0.25327933
133,0.40107396
133,0.2739297
133,0.2737812
133,0.5384584
133,0.39227942
133,0.16558829
133,0.26228237
133,0.4318397
133,0.22441468
133,0.4784596
133,0.5283583
133,0.5190759
133,0.5222719
133,0.28896046
133,0.29913038
133,0.26456386
133,0.30374116
133,0.20576373
133,0.24584465
133,0.47553232
133,0.40349028
133,0.49881512
133,0.52792895
133,0.5070601
133,0.23187472
133,0.5111457
133,0.44313487
133,0.32610375
133,0.50396377
133,0.19990633
133,0.16918176
133,0.2661113
133,0.24581017
133,0.25621492
133,0.35926032
133,0.45228824
134,0.42255554
134,0.71265525
134,0.5836382
134,0.50611675
134,0.6822244
134,0.77570736
136,0.56766
136,0.6031107
137,0.35534176
137,0.24914025
137,0.19742595
137,0.49665397
137,0.5204598
137,0.4748907
137,0.58215827
137,0.49411127
138,0.34500888
138,0.36877015
138,0.42247584
138,0.5136074
138,0.6350119
140,0.3819009
140,0.19894144
140,0.31919488
140,0.44509515
140,0.1784625
140,0.48508298
140,0.23837969
140,0.3352456
140,0.27331725
140,0.334746
140,0.26745483
140,0.20227124
140,0.19454567
140,0.26797792
141,0.56771463
141,0.6956124
141,0.5902441
141,0.7655909
141,0.54574186
141,0.5847914
142,0.6249208
142,0.4747049
142,0.251477
142,0.4210019
142,0.32294095
142,0.23699969
142,0.30023012
142,0.31207523
142,0.30666962
142,0.44864437
142,0.5546624
142,0.49159014
142,0.23426987
142,0.31391054
142,0.3368036
142,0.54662555
142,0.19598736
142,0.43857878
142,0.40986672
142,0.29450414
142,0.31740913
143,0.35564244
143,0.35514474
143,0.4725214
143,0.4998079
143,0.39593515
143,0.46654522
143,0.12297274
143,0.41710594
143,0.31606966
143,0.27075544
143,0.2806467
143,0.40246612
143,0.40344974
143,0.38603753
143,0.21702023
143,0.11660362
143,0.2028808
143,0.27894652
143,0.30500218
143,0.32729593
143,0.43541273
143,0.41958103
143,0.43301737
143,0.31047463
143,0.14961956
143,0.2999924
143,0.33853132
143,0.27193445
143,0.18985091
143,0.23566075
143,0.2494715
143,0.28208867
143,0.23142141
143,0.21397345
143,0.33976322
144,0.3658338
144,0.5606091
144,0.48184472
144,0.54155004
144,0.54752624
144,0.566584
144,0.40215746
145,0.6060216
145,0.4347859
145,0.43259406
145,0.5048123
145,0.41665557
145,0.5214667
145,0.09483523
146,0.30314535
146,0.34194118
146,0.41337928
146,0.2731559
146,0.13105987
146,0.15401682
146,0.36840802
146,0.3958456
146,0.33110806
146,0.31963265
147,0.2703061
147,0.35045397
147,0.42428032
147,0.35994282
147,0.50569206
148,0.2631492
148,0.20261809
148,0.34819221
148,0.45250177
148,0.29533952
148,0.29686317
148,0.33378667
148,0.33131173
148,0.2359773
148,0.16667482
148,0.36768654
148,0.20674452
148,0.38528824
148,0.3002689
148,0.25604042
148,0.36096275
148,0.28167766
148,0.23725474
148,0.24713436
148,0.1694447
148,0.3391217
148,0.23459698
148,0.33167222
148,0.24860469
148,0.36360514
148,0.22963649
148,0.17994222
148,0.21194708
148,0.32311666
148,0.3169916
149,0.2038198
149,0.2381046
149,0.5098292
149,0.44820762
149,0.3477199
149,0.28151897
149,0.21500076
149,0.27413574
149,0.4326183
149,0.35705012
149,0.23120828
149,0.39055777
149,0.28121462
149,0.23530526
149,0.41582757
149,0.18056464
149,0.32594723
149,0.30107597
149,0.47890422
149,0.35080197
149,0.55333775
150,0.44163984
150,0.42319813
151,0.5775721
151,0.57322663
151,0.5152061
151,0.34161752
151,0.52427506
151,0.59671277
151,0.6613983
151,0.32551765
151,0.24904676
151,0.34939948
151,0.28105476
151,0.19267574
151,0.5078271
151,0.2780378
151,0.50636184
151,0.35128832
151,0.4699954
151,0.19713075
152,0.24804963
152,0.4041312
152,0.40025377
152,0.41954058
152,0.3968522
152,0.42559427
152,0.4495362
152,0.34224567
152,0.245346
152,0.29855707
152,0.41139543
153,0.33533776
153,0.23579232
153,0.29984868
153,0.23730934
153,0.27986556
153,0.26621485
153,0.29518262
153,0.30884436
153,0.25367674
153,0.2618069
153,0.37545675
153,0.29598153
154,0.49839085
154,0.46889225
154,0.4864131
154,0.5541455
154,0.48019528
154,0.5311064
154,0.33985537
154,0.41366336
154,0.51300156
154,0.20816499
154,0.20396233
154,0.46467564
