,global_coherence_prediction
17208,4.942067e-05
14577,0.40895072
4074,0.042269107
3832,0.41768736
2342,0.47521853
14617,4.6353078e-05
4231,0.12778081
12567,0.43815798
17124,1.573219e-05
12709,0.47983813
16138,3.2472704e-05
913,0.59370846
5646,0.6049349
3987,0.7476574
13960,0.0006956543
10874,0.9860715
10898,0.81828105
12635,0.27430236
7979,0.6499348
4178,0.4657585
12085,0.86899906
4281,0.7356516
3727,0.6439228
18110,2.7894559e-05
6926,0.68430537
7061,0.64629394
10865,0.668255
8037,0.00058556534
1302,0.3953721
13387,4.031242e-05
13168,1.9918663e-05
797,0.73386425
6559,0.027236974
1628,0.9623808
115,0.6630128
13950,3.823779e-05
9666,0.6334578
8526,0.41690356
3384,0.7732654
19096,0.00011229073
13362,0.08701361
12170,0.9448496
17526,0.00028451713
16878,0.0061224652
15150,6.3160376e-05
223,0.45522878
5590,0.937211
12715,0.8783644
4272,0.81719196
4800,0.27853745
9527,0.0036145668
9320,0.031713128
11705,0.68362415
8050,0.25853598
18123,6.191408e-05
10978,0.6701913
3665,0.16768362
8254,0.35903323
3081,0.12428646
1234,0.53372735
14537,0.0010970498
12106,0.67324656
4059,0.96232706
1523,0.14709614
6393,0.6340929
17652,0.00030746445
15709,0.067554034
1892,0.33820677
14665,2.0773321e-05
15796,1.956264e-05
16009,5.751815e-05
18481,2.7646543e-05
9849,0.9597752
17274,0.0041902647
2154,0.67240316
2431,0.4511183
17138,4.1711064e-05
7900,0.40586886
9655,0.85320973
14585,5.4120126e-05
12519,0.5349549
15564,0.00034598267
16716,0.00021513518
12994,0.00018477275
17690,0.0371663
6266,0.6279123
18756,0.021238329
7858,0.5532565
4350,0.43597794
11542,0.95477605
5788,0.21764319
8674,0.5371868
18807,0.096474655
14723,8.280549e-05
7275,0.72827494
15897,0.26400557
9798,0.5591022
3098,0.7223196
14937,4.4638826e-05
2781,0.31676564
9898,0.96384865
1879,0.7137782
11432,0.93578666
11388,0.933315
18800,4.566808e-05
8533,0.67501694
4115,0.7113419
12008,0.021918932
18323,0.02381041
2266,0.588403
10867,0.04334014
2933,0.58595896
16907,0.00030587747
9565,0.6176656
4747,0.5523325
12814,0.5607795
3163,0.56712043
65,0.801169
11673,0.79043186
7474,0.71267307
8021,0.5624721
11157,0.6352097
10488,0.87034976
2268,0.776278
9650,0.13922912
16954,0.015213519
6797,0.7951381
2600,0.654351
5398,0.961525
7468,0.9746163
13734,0.00020837007
14669,0.55567694
3855,0.27146643
7251,0.046385642
3342,0.6089388
6408,0.6475313
269,0.74456686
7146,0.40617234
12143,0.83729357
12506,0.99158853
15229,5.016008e-05
17348,0.00065914425
10283,0.4482413
14573,0.000101905825
9103,0.5457564
16678,0.019599613
7463,0.3848871
18671,0.00030923123
17904,2.5503734e-05
18536,0.4519619
6565,0.852954
13798,5.2741725e-05
12063,0.5812579
13783,4.6410754e-05
16004,0.00011515277
8946,0.6065613
11363,0.88985795
19132,0.035690594
15018,0.09241046
9290,0.372497
5115,0.8426684
2903,0.98280334
2287,0.8699265
16251,0.00017363467
14039,0.19538276
945,0.5663467
15672,0.009191948
7514,0.78446984
9615,0.96879613
13612,0.1159399
9630,0.780016
1891,0.95844054
10732,0.48352167
18678,2.3981185e-05
17378,0.00022065979
463,0.3674179
7304,0.7662433
7736,0.34942195
11682,0.20831677
19140,3.3442113e-05
403,0.70177585
13313,0.1411058
7804,0.84768915
9060,0.88081723
14433,0.00024357958
6521,0.6752624
16056,1.6740187e-05
8948,0.49780035
5446,0.5876778
13054,2.2257664e-05
16579,4.2329844e-05
5827,0.8579835
4239,0.67688435
10998,0.39448443
10496,0.74718577
1973,0.91879976
13369,0.41852772
6458,0.8641058
1456,0.20774475
9449,0.7459554
8914,0.595363
5481,0.7423086
10100,0.5559264
15737,3.6180558e-05
15968,2.062907e-05
9336,0.62091786
6042,0.25805253
16909,0.28425637
14467,1.1047411e-05
19093,0.055606183
5375,0.9892854
16025,0.04947373
7131,0.67768496
10406,0.13255502
1708,0.5190109
1155,0.45154768
15007,2.7669648e-05
10215,0.8192271
163,0.9555553
3817,0.698663
16451,5.4318312e-05
17917,4.2004853e-05
18467,5.57275e-05
17151,0.016218202
7796,0.6637702
12220,0.7519446
15392,0.00965825
13766,2.9814542e-05
7785,0.6545761
9056,0.7586134
3980,0.52155334
10110,0.59702516
1310,0.7304746
5955,0.43218264
3634,0.66998494
18156,0.00037420617
6571,0.47054642
9892,0.3057542
15665,7.732537e-05
9857,0.78158927
7177,0.57695776
25,0.6211742
10269,0.9353328
8066,0.9953609
13654,0.0007779381
10466,0.95112246
17285,0.04254204
11897,0.34499815
14290,0.048277594
14895,0.0024612292
4672,0.8493056
17947,0.0024038476
14406,0.061386533
10660,0.67335
12274,0.4636804
9957,0.9565776
171,0.97746587
5943,0.5170752
14358,0.04490517
1181,0.04314948
3642,0.987856
13501,0.005974621
915,0.7699971
6547,0.61748135
8420,0.98238164
43,0.31901506
9009,0.5425076
6094,0.82965255
13483,3.5635854e-05
5191,0.68579316
9764,0.54725677
12126,0.55010724
11628,0.83498424
13104,6.411861e-05
11846,0.2860347
606,0.62065125
3275,0.88539374
17366,0.0010159309
12733,0.48578086
11232,0.96998334
10972,0.9546275
12944,0.223477
7741,0.04678081
4731,0.9237396
13517,0.00013125439
3204,0.6810914
14326,4.1579166e-05
14921,7.018436e-05
3815,0.27593172
518,0.56308687
6512,0.47028622
14322,0.010130273
11073,0.44982654
15935,6.125918e-05
9369,0.88364017
8144,0.49236017
16426,2.976738e-05
15503,3.630955e-05
14824,6.5864515e-05
1787,0.9750724
539,0.8491488
3844,0.7688415
3395,0.88020414
11732,0.6747584
3140,0.74537045
5953,0.5698432
16527,0.0034174414
15914,0.26694837
9627,0.7251022
14501,2.3472232e-05
6488,0.9800039
7864,0.71688086
16252,6.2075356e-05
2396,0.9895454
16337,1.0755428e-05
3636,0.6489736
14038,1.4593034e-05
12034,0.98962665
2080,0.96475476
1265,0.67315596
8894,0.4390564
15979,0.0062263217
3806,0.7164872
15680,7.7726734e-05
18174,4.677327e-05
10183,0.09562921
9297,0.9170995
14748,0.000101878424
3500,0.9182844
3531,0.7569592
1753,0.970508
8070,0.22466587
3128,0.67233866
14436,1.26428495e-05
18811,3.270548e-05
15145,0.033218767
18951,1.9680378e-05
788,0.3489512
155,0.7951511
14111,0.010815331
985,0.4143136
12865,0.99060625
3849,0.08000523
5431,0.93367565
13295,3.4349403e-05
568,0.6075362
14876,3.580963e-05
16015,9.357754e-05
9318,0.92495275
18626,0.00019651365
12769,0.38398343
3672,0.95120347
18397,1.8282468e-05
19146,0.0015758016
8909,0.3128325
14626,0.00078705186
11545,0.42383575
7056,0.50685054
3951,0.57858676
926,0.95092964
18628,3.262928e-05
15798,3.832347e-05
2633,0.068556234
14871,2.0416384e-05
10697,0.09708305
16221,0.0009925083
17620,0.0012039733
5207,0.06027333
16293,3.9705286e-05
5443,0.1331336
9526,0.7870528
12501,0.7454907
12368,0.67696685
11482,0.34936062
19076,0.04263841
1354,0.65813494
13917,0.44570634
12225,0.2158632
8040,0.9624272
16265,5.1292074e-05
18493,0.001525907
4381,0.13334693
14391,4.2551797e-05
1752,0.08685471
18277,0.011782811
5412,0.44103688
17980,0.00015455291
12985,0.5874165
17356,0.00013586755
15933,0.0064775017
9418,0.024534602
8413,0.66516495
9835,0.3643735
15377,0.42634547
2665,0.43089753
17081,0.0003535087
10991,0.22930706
12919,0.14510942
6207,0.03526808
16311,0.00086327054
17453,7.563568e-05
13234,0.00030597518
10806,0.72705907
6747,0.5497901
11973,0.63029975
192,0.687696
13025,2.4990099e-05
15797,4.5796693e-05
3176,0.9830147
3824,0.22201787
10701,0.45437306
18463,0.0006021742
15648,0.00024053185
17959,2.3231012e-05
6967,0.79959005
17536,0.000109982015
8661,0.84052193
3897,0.47010916
3641,0.2960669
4002,0.021462997
6314,0.90356493
6597,0.9700677
567,0.94251597
14527,7.225627e-05
2985,0.33786488
667,0.8940917
2338,0.8685922
6753,0.6970443
11285,0.13120332
14830,0.062294483
15804,0.077676
14558,0.040910427
16922,0.00017719991
16132,0.000144282
3680,0.79817295
7231,0.18101797
11903,0.9931485
4189,0.7382409
15734,2.672681e-05
3568,0.49570215
16175,0.00039826168
17445,4.6376736e-05
452,0.47145966
8547,0.792773
15087,0.6905745
5209,0.09790547
12248,0.97476816
8030,0.6003673
18297,2.2484166e-05
6269,0.43661305
5905,0.6950031
13395,0.97643733
18268,8.8724184e-05
15905,2.6464633e-05
14777,0.3192135
17713,2.6780672e-05
5762,0.34289607
4284,0.73685384
3738,0.14988972
8774,0.8287307
14337,0.053343784
6810,0.97788244
10780,0.061076876
1782,0.5797331
6593,0.68367857
16610,0.023587393
15024,1.7368939e-05
11080,0.7518086
4730,0.58281726
3280,0.9448796
1247,0.30341685
16824,0.00015808099
1448,0.10033648
6782,0.9912845
1349,0.47916633
4639,0.69901866
5881,0.71724993
11406,0.92374724
6849,0.1097609
4640,0.6317435
554,0.3548011
14935,0.0014852923
7647,0.8490193
6758,0.979886
5931,0.15372658
16723,5.3901487e-05
8854,0.6218907
17663,3.006646e-05
793,0.30735722
10778,0.61121035
5631,0.37864318
9995,0.415488
5860,0.8417919
8376,0.8001153
6354,0.50408226
7315,0.30771422
3901,0.16861756
13666,0.00012711198
17901,1.525278e-05
4574,0.62487626
7902,0.8713103
16787,0.00012702159
13282,2.3696943e-05
15283,3.4807857e-05
17820,0.00017780412
11006,0.67289984
4032,0.15383366
15304,6.164149e-05
5900,0.5352424
4388,0.4732612
18744,0.20981477
14590,0.00035798634
18074,4.062068e-05
4106,0.2746257
686,0.62607133
8329,0.54046404
3592,0.4224242
18979,0.0002711621
3030,0.04738031
7476,0.55099595
608,0.021082519
11218,0.049373165
9528,0.22339097
10922,0.2971673
393,0.76991
3311,0.66748106
166,0.29797912
2936,0.47056648
10675,0.7399438
9027,0.86287105
9991,0.94217616
7968,0.9120992
2618,0.884534
14062,4.991691e-05
12392,0.77597
9572,0.97284997
14763,0.68672734
18922,0.00087148853
9406,0.63529575
7047,0.69224256
6944,0.77731675
7857,0.51275563
13170,8.900052e-05
9545,0.87325317
14687,0.0023433263
9792,0.06621631
8362,0.46154958
10924,0.5242193
16601,0.00031535662
15207,0.00020754819
13586,0.010152182
10395,0.6214711
2070,0.22865123
16835,7.173271e-05
4043,0.40709814
11546,0.6111968
12451,0.96813434
16603,0.00010855757
5176,0.8363449
2666,0.7172072
16755,0.014839468
14430,0.46645504
16290,0.0006904313
4625,0.95960075
17794,3.190909e-05
12421,0.29024372
448,0.28717723
17305,0.0026246232
14301,6.3234926e-05
1171,0.51817375
10358,0.9519287
9617,0.75456595
11586,0.94320554
18702,0.12569816
12553,0.78272796
13228,0.114496134
5423,0.99323964
6625,0.6553945
447,0.85538757
13580,3.9274848e-05
119,0.36327812
12208,0.52164805
13020,1.0682909e-05
16674,3.2815922e-05
6751,0.65417075
13029,4.778087e-05
4045,0.26260188
13979,0.14215757
14795,0.0013364345
9131,0.63990986
2358,0.7837047
13274,0.017889425
6102,0.5413429
9498,0.40009752
6585,0.721661
14238,0.001953017
8331,0.97571963
1800,0.86126083
4214,0.5200459
7066,0.63377357
9657,0.5458135
15406,0.0011518899
8414,0.5673993
359,0.15637058
6823,0.19819602
6162,0.72487545
6937,0.4739679
635,0.9836324
16000,0.00016218818
15355,0.0010976451
2808,0.25434324
12339,0.38253808
12957,0.7790749
114,0.056871574
11036,0.8405122
10766,0.22830866
6037,0.79476905
18619,7.8490266e-05
2575,0.7557969
11850,0.7734925
14835,0.0007565186
6516,0.7085211
8454,0.940153
5393,0.8645079
5802,0.5320138
11231,0.6757055
9013,0.6484694
7967,0.8942911
16894,0.015142166
7297,0.5806874
268,0.0149530135
9144,0.64754033
10143,0.713444
15371,4.0508457e-05
8523,0.9865348
4250,0.6711515
8009,0.25129947
304,0.68538916
18336,0.0002065855
14415,8.485198e-05
13032,0.0065681003
2184,0.6695162
14826,0.00020547675
16200,0.92285347
17835,0.00022016569
14589,0.00035570897
2501,0.27115953
17805,6.8611436e-05
15422,0.39212602
7547,0.6485311
7720,0.55210537
9485,0.96374077
3514,0.21984094
8751,0.2131941
4545,0.09487598
9539,0.9763322
3528,0.9843902
10783,0.6543499
2483,0.2659447
11436,0.969983
9201,0.24123499
11367,0.50768083
3553,0.79486436
17803,0.22306696
1218,0.9434772
12880,0.6011544
627,0.08086622
3370,0.8455515
16589,0.0020297358
8074,0.58278126
1674,0.6454142
14877,0.00027093547
3049,0.41256928
15679,4.6737245e-05
15373,0.2048326
5730,0.46751684
13848,0.029238872
6690,0.64546
7803,0.7281406
14493,0.0010940811
13531,0.0019536985
2440,0.8939502
16825,3.004545e-05
9110,0.37422374
673,0.6040467
14204,0.00018237755
2767,0.7556136
18817,0.00048186604
14109,0.28893638
10846,0.5440269
1,0.6721577
10993,0.9509093
4781,0.39634866
3057,0.53486085
4766,0.7758891
2057,0.28902742
11623,0.7866275
7919,0.7565954
1164,0.63411987
9288,0.77857745
17372,0.00010060179
10486,0.78639215
2368,0.67009526
4468,0.4655062
7185,0.63497514
8957,0.5799298
16173,2.6890815e-05
10252,0.96370703
12682,0.83797705
4758,0.3294226
5476,0.6986377
2511,0.67722714
14014,3.8327602e-05
0,0.58899266
3984,0.66162175
10487,0.36807516
9438,0.27988538
15999,0.00010007221
1120,0.016852394
18370,0.0013071527
12452,0.42165667
4367,0.3223926
13807,2.0427837e-05
15555,6.181679e-05
19138,0.19516587
756,0.9299977
18991,3.8555656e-05
7223,0.47252926
11890,0.6377041
11909,0.7554195
3867,0.9255171
1133,0.81713825
3305,0.7663577
9247,0.2603025
14050,0.00023451519
13644,2.5294821e-05
3977,0.60970855
8990,0.49897653
5902,0.66742367
11258,0.0015831838
17080,1.00714815e-05
1848,0.74982077
2879,0.9873094
7881,0.5875673
13090,0.00063571904
6053,0.64125323
14099,0.004402752
13165,0.7372302
13449,0.0006815451
2278,0.84837604
11454,0.9953151
12164,0.5915238
2092,0.64851326
10716,0.042540893
6421,0.3809169
11981,0.90535134
529,0.80920655
15822,3.8401908e-05
5396,0.6935703
6111,0.35032034
10609,0.9418627
9393,0.49483913
7764,0.8450952
2548,0.23543613
9734,0.4527493
2443,0.9518397
15208,1.5544474e-05
13004,1.22559895e-05
18457,2.7000466e-05
9883,0.32017344
10960,0.41991657
12130,0.6993433
9624,0.9647884
1937,0.022007316
13250,8.5888125e-05
3712,0.4004599
9707,0.95415163
19160,0.33973354
9285,0.45213738
8916,0.44557476
13559,5.160549e-05
12774,0.8813434
12015,0.5961817
16556,0.00036412617
15703,0.0021723867
6205,0.42421505
15591,3.6939542e-05
12252,0.689356
5117,0.24598886
16225,3.142459e-05
14254,0.000100424964
7070,0.47814682
16127,0.0019944506
9169,0.6877225
18055,9.325036e-05
11520,0.99802893
18984,3.30766e-05
13503,2.3290886e-05
14889,3.720256e-05
7708,0.7282503
145,0.7836297
9682,0.3289881
10178,0.0743763
13621,0.0068787267
2391,0.28170642
17079,0.0016446077
9079,0.6935106
14086,0.0037426336
8837,0.41268015
3693,0.81953436
7375,0.95649517
1880,0.79175955
9155,0.88925326
6934,0.31767604
11600,0.9507651
14513,0.0132647725
18352,0.00011753684
16718,0.1289535
7644,0.1367741
10375,0.6394562
9128,0.68437684
10261,0.99328387
11688,0.68955696
2921,0.45539048
9059,0.9298443
5945,0.4640386
12431,0.3040773
11787,0.98578066
13261,1.6994674e-05
13408,0.00044198055
7415,0.7509704
7790,0.73720366
3585,0.30543426
4331,0.3425901
728,0.32559338
5650,0.67755616
13696,2.9458379e-05
1324,0.5024533
18324,2.1322674e-05
8713,0.4903803
6920,0.860871
10973,0.63965154
13596,0.00013481319
11380,0.76105124
2497,0.67688143
15349,2.2211438e-05
7845,0.70291114
16324,9.652324e-05
8456,0.1793528
5679,0.12960538
16421,0.00382144
18582,0.00045225982
10247,0.42642415
7219,0.9921278
13235,0.010406561
13086,0.00015394342
9251,0.66900307
10130,0.45553833
1436,0.10895495
11443,0.8338543
10559,0.7717492
4310,0.83511007
32,0.7483242
7092,0.98494995
4276,0.68075544
17125,3.379261e-05
4860,0.7775939
2062,0.9388205
4637,0.00012859458
11155,0.041193098
14806,0.006489687
11213,0.08412699
4808,0.57237214
16617,3.927069e-05
17675,2.6780059e-05
12022,0.8505159
17513,5.5088592e-05
13756,0.0003421453
12797,0.3986799
6051,0.6833395
5979,0.6804979
311,0.40305638
14457,5.698139e-05
16123,0.8086696
1444,0.6696404
2308,0.96451205
9301,0.06096101
16599,0.002469647
18769,4.2575823e-05
5187,0.37690842
10875,0.7629317
10932,0.95660454
3913,0.98821336
18575,2.1238371e-05
1722,0.46760002
14184,0.008456719
16072,5.610786e-05
16890,3.2403936e-05
6063,0.34320155
13806,0.00026902425
7028,0.8019319
18287,0.018977584
17304,8.379603e-05
4107,0.60116035
12455,0.42667043
18748,4.6194746e-05
9081,0.5573594
2537,0.81738627
4322,0.6429727
12614,0.17476456
13595,1.501823e-05
3949,0.6755005
8902,0.1951464
11051,0.32504168
4402,0.19385144
6016,0.1026384
5276,0.8559774
4507,0.49875414
12863,0.60708356
11302,0.4717199
18568,3.3080072e-05
5136,0.9637151
17828,0.0003292305
9585,0.6526975
15360,8.69005e-06
9138,0.35311213
15964,9.81344e-05
6311,0.6307226
4682,0.46526465
3294,0.81453735
743,0.6138099
7532,0.7052449
16815,0.03750107
7373,0.69003433
8813,0.36719033
1527,0.9842918
5219,0.9857576
8624,0.94968194
11172,0.701697
18519,0.023634627
17792,6.1021714e-05
15114,2.1632564e-05
14203,3.4631248e-05
18529,0.72908324
8359,0.84521836
10349,0.5743461
4857,0.80005294
14596,0.00017685808
4444,0.531086
14473,1.5484184e-05
10992,0.8606448
13205,0.00010933224
8739,0.7047922
4109,0.9099991
11224,0.827633
1836,0.6094756
11866,0.66628695
7263,0.60641176
15174,3.9866154e-05
3129,0.15127288
9740,0.32731462
8486,0.41909015
9243,0.66602904
17684,0.5515918
11699,0.28938198
1586,0.2562563
14318,0.0022630803
4220,0.2179944
11164,0.00058135425
3449,0.10327427
1711,0.35231876
16227,3.3380107e-05
9976,0.51631457
5150,0.7796819
4306,0.55511683
4872,0.7456716
16443,2.7636897e-05
15689,0.0016660184
4049,0.8123106
7920,0.8861988
13388,1.7636197e-05
14214,0.00028347605
14939,0.00016384093
5941,0.706426
11420,0.6396881
10313,0.72479326
16972,6.3978136e-05
11294,0.94839126
4997,0.5301733
15643,4.957005e-05
13994,0.17965984
5621,0.5313488
4947,0.5512371
16803,0.5571735
1903,0.9111504
15791,0.0034626336
2874,0.7175947
15769,0.0040169456
1609,0.68511564
5102,0.59058785
226,0.28453046
13636,0.00024456345
615,0.5911233
6750,0.46071392
18711,4.1906467e-05
5584,0.7167747
6370,0.72086424
4300,0.38093093
17155,0.0014898621
15920,0.001622618
1035,0.5849605
12514,0.25817373
646,0.9970789
14804,3.7792e-05
7220,0.39611626
18338,0.0016929914
1813,0.49047118
13671,3.0752773e-05
13925,0.00024567146
13801,0.00015728352
7444,7.4058866e-05
9689,0.713871
17255,0.0001214704
3118,0.8432662
6757,0.576667
5060,0.9016542
18537,4.6145302e-05
7506,0.5717796
4972,0.57097405
6492,0.99708384
8546,0.8786743
659,0.58178383
4128,0.25828996
17141,0.00039565744
18136,9.5656405e-06
10264,0.973321
11602,0.7485686
18468,2.7269429e-05
10126,0.7181356
7140,0.4789955
17797,0.0001074733
16458,0.00270896
17011,2.0878762e-05
5333,0.8495424
2766,0.47606385
18475,0.00017643615
13987,0.0674577
3496,0.43130508
9643,0.40009505
6618,0.7094019
